date,NDVI_p2_reversed
"Dec 25, 2021",0.170301
"Dec 20, 2021",0.762187
"Dec 15, 2021",0.616564
"Dec 10, 2021",0.810364
"Dec 5, 2021",0.671473
"Nov 30, 2021",0.558213
"Nov 25, 2021",0.417989
"Nov 20, 2021",0.673349
"Nov 15, 2021",0.439478
"Nov 10, 2021",0.594389
"Nov 5, 2021",0
"Oct 31, 2021",0.455475
"Oct 26, 2021",0.536735
"Oct 21, 2021",0.417672
"Oct 16, 2021",0.216336
"Oct 11, 2021",0.118706
"Oct 6, 2021",0.00422914
"Sep 26, 2021",0.697959
"Sep 16, 2021",0.356669
"Aug 27, 2021",0.258126
"Aug 17, 2021",0.638502
"Aug 12, 2021",0.722472
"Jul 8, 2021",0.59664
"Jun 28, 2021",0.661983
"Jun 23, 2021",0.718854
"Jun 8, 2021",0.586617
"Jun 3, 2021",0.293921
"May 29, 2021",0.40856
"May 24, 2021",0.374522
"May 14, 2021",0.113086
"May 9, 2021",0.126565
"May 4, 2021",0.257934
"Apr 29, 2021",0.207042
"Apr 24, 2021",0.525891
"Apr 19, 2021",0.397904
"Apr 9, 2021",0.907419
"Apr 4, 2021",0.887612
"Mar 30, 2021",0.581738
"Mar 25, 2021",0.744844
"Mar 20, 2021",0.912235
"Mar 15, 2021",0.6135345
"Mar 10, 2021",0.794458
"Mar 5, 2021",0.826271
"Feb 28, 2021",0.908479
"Feb 23, 2021",0.85706
"Feb 18, 2021",0.785731
"Feb 8, 2021",0.643836
"Feb 3, 2021",0.352525
"Jan 19, 2021",0.723349
"Jan 14, 2021",0.0339476
"Jan 9, 2021",0.110881
"Jan 4, 2021",0.767172
